response_ms,url
5985.2,https://truongvietanh.com/thuc-don-tuan-1-thang-12-nam-2018-tu-ngay-03122018-09122018/
5809.9,https://truongvietanh.com/thuc-don-tuan-3-thang-12-tu-ngay-17122018-23122018/
5312.1,https://truongvietanh.com/cam-con-yeu-som-phu-huynh-co-the-gat-trai-dang/
5311.6,https://truongvietanh.com/khoanh-khac-thay-tro-2018-anh-du-thi-lop-11a2/
5274.7,https://truongvietanh.com/khoanh-khac-thay-tro-2018-anh-du-thi-lop-8a1/
5251.8,https://truongvietanh.com/thuc-don-tuan-5-thang-12/
5246.2,https://truongvietanh.com/khoanh-khac-thay-tro-2018-anh-du-thi-lop-12b1/
5128.9,https://truongvietanh.com/khoanh-khac-thay-tro-2019-anh-du-thi-lop-12c1/
4918.8,https://truongvietanh.com/khoanh-khac-thay-tro-2019-anh-du-thi-lop-6a2/
4732.8,https://truongvietanh.com/khoanh-khac-thay-tro-2018-anh-du-thi-lop-12a1/
