PageURL,OriginalImageURL,OriginalFilename,SEOWebPFileName,Type
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2024/12/logo-foot.svg,logo-foot.svg,logo-foot.svg,svg
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2024/12/fb.svg,fb.svg,fb.svg,svg
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2024/12/ytb.svg,ytb.svg,ytb.svg,svg
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2024/12/ig.svg,ig.svg,ig.svg,svg
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2024/12/phone-call.svg,phone-call.svg,phone-call.svg,svg
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2024/12/clock.svg,clock.svg,clock.svg,svg
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2024/12/welcome-decor.png,welcome-decor.png,trang-chu-1.webp,raster
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2025/11/a_duong-CEO.png,a_duong-CEO.png,trang-chu-2.webp,raster
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2024/12/big-img-scaled.jpg,big-img-scaled.jpg,trang-chu-3.webp,raster
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2024/12/il-img1.jpg,il-img1.jpg,trang-chu-4.webp,raster
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2024/12/il-ic1.svg,il-ic1.svg,il-ic1.svg,svg
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2024/12/big-img2-scaled.jpg,big-img2-scaled.jpg,trang-chu-5.webp,raster
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2024/12/il-img2.jpg,il-img2.jpg,trang-chu-6.webp,raster
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2024/12/il-ic2-1.svg,il-ic2-1.svg,il-ic2-1.svg,svg
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2024/12/big-img3-scaled.jpg,big-img3-scaled.jpg,trang-chu-7.webp,raster
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2024/12/il-img3.jpg,il-img3.jpg,trang-chu-8.webp,raster
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2024/12/il-ic3-1.svg,il-ic3-1.svg,il-ic3-1.svg,svg
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2024/12/train3.jpg,train3.jpg,trang-chu-9.webp,raster
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2025/02/train1.jpg,train1.jpg,trang-chu-10.webp,raster
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2025/02/train2.jpg,train2.jpg,trang-chu-11.webp,raster
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2024/12/adm1.svg,adm1.svg,adm1.svg,svg
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2025/03/DSCF9497-copy-scaled.jpg,DSCF9497-copy-scaled.jpg,trang-chu-12.webp,raster
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2024/12/adm2.svg,adm2.svg,adm2.svg,svg
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2025/03/20230305-DSCF2976-scaled.jpg,20230305-DSCF2976-scaled.jpg,trang-chu-13.webp,raster
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2024/12/adm3.svg,adm3.svg,adm3.svg,svg
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2025/03/20230311-DSC08612-scaled.jpg,20230311-DSC08612-scaled.jpg,trang-chu-14.webp,raster
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2024/12/decor-form2.png,decor-form2.png,trang-chu-15.webp,raster
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2024/12/phone.svg,phone.svg,phone.svg,svg
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2024/12/mail.svg,mail.svg,mail.svg,svg
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2024/12/ic-fb.svg,ic-fb.svg,ic-fb.svg,svg
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2024/12/ic-zalo.svg,ic-zalo.svg,ic-zalo.svg,svg
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2025/11/z7257753408466_c94f68eee92f75f4af8dbbc31237b9ce.jpg,z7257753408466_c94f68eee92f75f4af8dbbc31237b9ce.jpg,trang-chu-16.webp,raster
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2025/11/z7257735355022_4ed08cdddbe0ebcabc33c99c49ede743.jpg,z7257735355022_4ed08cdddbe0ebcabc33c99c49ede743.jpg,trang-chu-17.webp,raster
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2025/11/z7257735355652_a6be8285202d78e008c83b3deb1d680f.jpg,z7257735355652_a6be8285202d78e008c83b3deb1d680f.jpg,trang-chu-18.webp,raster
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2025/11/z7257735381343_c4379bdaa215223c61d65cb040f3e15e-2.jpg,z7257735381343_c4379bdaa215223c61d65cb040f3e15e-2.jpg,trang-chu-19.webp,raster
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2025/12/Than-Huong-Giang-11A3.jpg,Than-Huong-Giang-11A3.jpg,trang-chu-20.webp,raster
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2025/02/gal2.jpg,gal2.jpg,trang-chu-21.webp,raster
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2025/02/gal1.jpg,gal1.jpg,trang-chu-22.webp,raster
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2025/02/gallery1-1.jpg,gallery1-1.jpg,trang-chu-23.webp,raster
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2025/03/menu-img2.png,menu-img2.png,trang-chu-24.webp,raster
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2025/02/gal4.jpg,gal4.jpg,trang-chu-25.webp,raster
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2025/03/menu-img4.png,menu-img4.png,trang-chu-26.webp,raster
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2025/02/gal3.jpg,gal3.jpg,trang-chu-27.webp,raster
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2025/03/20230311-DSC08503-scaled.jpg,20230311-DSC08503-scaled.jpg,trang-chu-28.webp,raster
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2025/03/421354334_897752079017888_1894685077621159917_n.jpg,421354334_897752079017888_1894685077621159917_n.jpg,trang-chu-29.webp,raster
https://truongvietanh.com,https://truongvietanh.com/wp-content/uploads/2024/11/image-4-edited-2.png,image-4-edited-2.png,trang-chu-30.webp,raster
